Dec 11 2014 01: +0,2.521,1249
Dec 12 2014 01: +0,0.784,2116860
Dec 13 2014 01: +0,4.045,11038
Dec 14 2014 01: +0,4.651,149886
Dec 15 2014 01: +0,5.842,147895
Dec 16 2014 01: +0,8.605,132654
Dec 17 2014 01: +0,7.991,123829
Dec 18 2014 01: +0,7.004,99320
Dec 19 2014 01: +0,3.889,29249
Dec 20 2014 01: +0,3.582,18062
Dec 21 2014 01: +0,3.431,17325
Dec 22 2014 01: +0,3.489,12059
Dec 23 2014 01: +0,3.446,11558
Dec 24 2014 01: +0,3.457,8672
Dec 25 2014 01: +0,3.474,9273
Dec 26 2014 01: +0,3.525,9769
Dec 27 2014 01: +0,3.513,9433
Dec 28 2014 01: +0,3.533,9133
Dec 29 2014 01: +0,3.497,9386
Dec 30 2014 01: +0,3.483,9352
Dec 31 2014 01: +0,3.415,8748
Jan 01 2015 01: +0,3.37,9311
Jan 02 2015 01: +0,3.386,12612
Jan 03 2015 01: +0,3.769,4949
Jan 04 2015 01: +0,3.695,5247
Jan 05 2015 01: +0,3.663,5073
Jan 06 2015 01: +0,3.671,4288
Jan 07 2015 01: +0,4.166,6611
Jan 08 2015 01: +0,3.962,4637
Jan 09 2015 01: +0,3.998,5827
Jan 10 2015 01: +0,3.941,5838
Jan 11 2015 01: +0,3.911,5543
Jan 12 2015 01: +0,3.869,5597
Jan 13 2015 01: +0,3.885,7688
Jan 14 2015 01: +0,3.895,6592
Jan 15 2015 01: +0,3.895,9144
Jan 16 2015 01: +0,3.863,7785
Jan 17 2015 01: +0,3.867,8991
Jan 18 2015 01: +0,3.872,8735
Jan 19 2015 01: +0,3.819,9318
Jan 20 2015 01: +0,3.866,10602
Jan 21 2015 01: +0,4.015,5909
Jan 22 2015 01: +0,3.963,7435
Jan 23 2015 01: +0,3.925,8965
Jan 24 2015 01: +0,4.037,12114
Jan 25 2015 01: +0,4.054,15441
Jan 26 2015 01: +0,4.084,11894
Jan 27 2015 01: +0,4.206,11077
Jan 28 2015 01: +0,4.274,13705
Jan 29 2015 01: +0,4.126,10483
Jan 30 2015 01: +0,4.124,14572
Jan 31 2015 01: +0,4.109,16100
Feb 01 2015 01: +0,4.076,14885
Feb 02 2015 01: +0,4.223,13313
Feb 03 2015 01: +0,4.065,8632
Feb 04 2015 01: +0,3.969,8632
Feb 05 2015 01: +0,4.356,14931
Feb 06 2015 01: +0,4.714,5720
Feb 07 2015 01: +0,4.737,5519
Feb 08 2015 01: +0,4.651,6286
Feb 09 2015 01: +0,4.753,9042
Feb 10 2015 01: +0,4.805,5456
Feb 11 2015 01: +0,4.834,5824
Feb 12 2015 01: +0,4.848,4242
Feb 13 2015 01: +0,4.83,7539
Feb 14 2015 01: +0,4.799,6347
Feb 15 2015 01: +0,4.941,7274
Feb 16 2015 01: +0,4.679,6663
Feb 17 2015 01: +0,4.624,9924
Feb 18 2015 01: +0,4.839,6355
Feb 19 2015 01: +0,5.121,6492
Feb 20 2015 01: +0,4.866,3874
Feb 21 2015 01: +0,4.792,4980
Feb 22 2015 01: +0,4.726,5707
Feb 23 2015 01: +0,4.842,9344
Feb 24 2015 01: +0,4.982,10049
Feb 25 2015 01: +0,4.968,8129
Feb 26 2015 01: +0,5.172,16068
Feb 27 2015 01: +0,5.216,14752
Feb 28 2015 01: +0,5.332,17255
Mar 01 2015 01: +0,5.515,16368
Mar 02 2015 01: +0,5.446,15842
Mar 03 2015 01: +0,5.401,25289
